ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
117.79	80950
117.8	80755
117.81	80647
117.82	81384
117.83	80387
117.84	80867
117.85	81110
117.86	80492
117.87	80360
117.88	80992
117.89	80774
117.9	80744
117.91	80885
117.92	80919
117.93	80755
117.94	81166
117.95	80636
117.96	80970
117.97	80714
117.98	80606
117.99	80922
118	80370
118.01	80701
118.02	81123
118.03	80785
118.04	80458
118.05	80570
118.06	81171
118.07	81106
118.08	81012
118.09	80977
118.1	81288
118.11	81223
118.12	80641
118.13	81113
118.14	80676
118.15	81560
118.16	81362
118.17	81084
118.18	80742
118.19	80468
118.2	80673
118.21	80419
118.22	81248
118.23	80877
118.24	81357
118.25	81108
118.26	81208
118.27	80998
118.28	81354
118.29	80656
118.3	81148
118.31	81476
118.32	80657
118.33	80775
118.34	81088
118.35	81049
118.36	80596
118.37	80790
118.38	81457
118.39	81160
118.4	81033
118.41	80714
118.42	81118
118.43	80850
118.44	80921
118.45	80995
118.46	80594
118.47	81354
118.48	81036
118.49	80790
118.5	81012
118.51	80972
118.52	81000
118.53	81258
118.54	81034
118.55	81425
118.56	80775
118.57	80827
118.58	80653
118.59	81030
118.6	80882
118.61	81343
118.62	80872
118.63	80699
118.64	80969
118.65	81046
118.66	81418
118.67	81367
118.68	80812
118.69	81096
118.7	80982
118.71	80852
118.72	81380
118.73	81209
118.74	81431
118.75	81174
118.76	80920
118.77	81205
118.78	81102
118.79	81068
118.8	81040
118.81	81289
118.82	81305
118.83	80524
118.84	81475
118.85	80852
118.86	81820
118.87	80964
118.88	80802
118.89	81051
118.9	81276
118.91	81402
118.92	80714
118.93	81243
118.94	81785
118.95	81050
118.96	81154
118.97	80954
118.98	80690
118.99	80880
119	80694
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
114	78998
114.01	78605
114.02	78749
114.03	78787
114.04	78791
114.05	78962
114.06	79126
114.07	78964
114.08	79013
114.09	78597
114.1	79006
114.11	78976
114.12	79200
114.13	78640
114.14	79393
114.15	78146
114.16	78796
114.17	78939
114.18	79187
114.19	79541
114.2	78939
114.21	78555
114.22	79270
114.23	78790
114.24	78952
114.25	78986
114.26	79021
114.27	79516
114.28	79483
114.29	79225
114.3	78919
114.31	78727
114.32	78983
114.33	78373
114.34	79084
114.35	79226
114.36	78922
114.37	79183
114.38	79040
114.39	79287
114.4	78794
114.41	78887
114.42	78975
114.43	78987
114.44	78995
114.45	78741
114.46	79022
114.47	78671
114.48	79159
114.49	79017
114.5	79020
114.51	78822
114.52	79650
114.53	78909
114.54	78898
114.55	78638
114.56	78924
114.57	79221
114.58	78954
114.59	78869
114.6	78604
114.61	78953
114.62	79438
114.63	78857
114.64	79156
114.65	79638
114.66	79288
114.67	79335
114.68	79032
114.69	79155
114.7	79506
114.71	78787
114.72	79157
114.73	78893
114.74	79147
114.75	78858
114.76	79109
114.77	79066
114.78	79587
114.79	79267
114.8	79389
114.81	79068
114.82	78727
114.83	79120
114.84	79659
114.85	79509
114.86	79227
114.87	79506
114.88	79071
114.89	78954
114.9	79307
114.91	79068
114.92	79452
114.93	79340
114.94	79531
114.95	79390
114.96	79260
114.97	79672
114.98	79288
114.99	79092
115	79370
115.01	79920
115.02	79719
115.03	79298
115.04	79662
115.05	79564
115.06	79685
115.07	79425
115.08	79437
115.09	79937
115.1	79348
115.11	79487
115.12	79559
115.13	79569
115.14	79700
115.15	79793
115.16	79587
115.17	79496
115.18	79446
115.19	79549
115.2	79563
115.21	79903
115.22	79805
115.23	80234
115.24	79670
115.25	79831
115.26	79708
115.27	79890
115.28	79673
115.29	79682
115.3	80041
115.31	80369
115.32	79895
115.33	80109
115.34	79975
115.35	79811
115.36	79615
115.37	80221
115.38	79893
115.39	80518
115.4	80023
115.41	80335
115.42	79794
115.43	80372
115.44	80567
115.45	80519
115.46	80555
115.47	80357
115.48	80161
115.49	80132
115.5	80002
115.51	80311
115.52	80301
115.53	80675
115.54	80359
115.55	80294
115.56	80554
115.57	80674
115.58	80632
115.59	80440
115.6	80691
115.61	80429
115.62	81047
115.63	80654
115.64	81293
115.65	81016
115.66	81192
115.67	81323
115.68	81191
